"Id","Label","Degree","Betweenness","Expression"
"54726","OTUD4",2,2985,0.48256
"54820","NDE1",2,2985,0.53059
"54840","APTX",2,2985,0.40802
"54931","TRMT10C",2,2985,0
"54997","TESC",2,2985,0.41026
"55183","RIF1",2,2985,0.38838
"5563","PRKAA2",2,2985,0
"558","AXL",2,2985,1.2216
"5580","PRKCD",2,2985,0.62
"55957","LIN37",2,2985,0.33861
"5621","PRNP",2,2985,1.0312
"56667","MUC13",2,2985,0
"5702","PSMC3",2,2985,0
"57136","APMAP",2,2985,0
"57215","THAP11",2,2985,0.34731
"5728","PTEN",2,2985,0.82259
"57336","ZNF287",2,2985,0
"5743","PTGS2",2,2985,0
"57473","ZNF512B",2,2985,0
"575","BAI1",2,2985,0
"57510","XPO5",2,2985,0.46513
"57521","RPTOR",2,2985,0.41537
"5753","PTK6",2,2985,0.34107
"57554","LRRC7",2,2985,0
"57655","GRAMD1A",2,2985,0
"5777","PTPN6",2,2985,0
"582","BBS1",2,2985,0
"583","BBS2",2,2985,0
"5830","PEX5",2,2985,0
"5864","RAB3A",2,2985,0
"5885","RAD21",2,2985,0
"5886","RAD23A",2,2985,0.57537
"595","CCND1",2,2985,0.37217
"5966","REL",2,2985,0
"5970","RELA",2,2985,0
"5987","TRIM27",2,2985,0.36118
"5997","RGS2",2,2985,0
"6047","RNF4",2,2985,0.48771
"6118","RPA2",2,2985,0
"6256","RXRA",2,2985,0
"6257","RXRB",2,2985,0
"6261","RYR1",2,2985,0
"6271","S100A1",2,2985,0.58025
"63893","UBE2O",2,2985,0
"6390","SDHB",2,2985,0.3475
"6404","SELPLG",2,2985,0
"6405","SEMA3F",2,2985,0
"6427","SRSF2",2,2985,0.51088
"64425","POLR1E",2,2985,0.37017
"6456","SH3GL2",2,2985,0
"64689","GORASP1",2,2985,0
"64965","MRPS9",2,2985,0.41265
"6498","SKIL",2,2985,0.46196
"650","BMP2",2,2985,0
"65125","WNK1",2,2985,0.636
"65265","C8orf33",2,2985,0.35785
"6582","SLC22A2",2,2985,0
"661","POLR3D",2,2985,0.53372
"6613","SUMO2",2,2985,0
"6617","SNAPC1",2,2985,0
"6667","SP1",2,2985,0
"6697","SPR",2,2985,0.37752
"6776","STAT5A",2,2985,0
"6840","SVIL",2,2985,0.6224
"6927","HNF1A",2,2985,0
"6943","TCF21",2,2985,0
"6945","MLX",2,2985,0
"7004","TEAD4",2,2985,0.45078
"7014","TERF2",2,2985,0.43345
"7020","TFAP2A",2,2985,0
"7022","TFAP2C",2,2985,0.37337
"7031","TFF1",2,2985,0
"7090","TLE3",2,2985,0.92053
"7124","TNF",2,2985,0
"7162","TPBG",2,2985,0.35711
"7168","TPM1",2,2985,1.1331
"7182","NR2C2",2,2985,0
"7203","CCT3",2,2985,0.51214
"7205","TRIP6",2,2985,0.40754
"722","C4BPA",2,2985,0
"728642","CDK11A",2,2985,0.37163
"7289","TULP3",2,2985,0.45311
"7298","TYMS",2,2985,0.51263
"7314","UBB",2,2985,0
"7332","UBE2L3",2,2985,0.80304
"7494","XBP1",2,2985,0.41798
"7534","YWHAZ",2,2985,1.1813
"7597","ZBTB25",2,2985,0
"778","CACNA1F",2,2985,0
"79101","TAF1D",2,2985,0
"79159","NOL12",2,2985,0
"79609","METTL21D",2,2985,0
"79666","PLEKHF2",2,2985,0
"79814","AGMAT",2,2985,0.37083
"79885","HDAC11",2,2985,0
"80128","TRIM46",2,2985,0
"80152","CENPT",2,2985,0.39758
"81488","GCOM1",2,2985,0
"81542","TMX1",2,2985,0.38924
"81554","WBSCR16",2,2985,0
"81573","ANKRD13C",2,2985,0
"81609","SNX27",2,2985,0
"81620","CDT1",2,2985,0.3929
"81629","TSSK3",2,2985,0
"81875","ISG20L2",2,2985,0.42209
"81888","HYI",2,2985,0.36684
"8204","NRIP1",2,2985,0
"8237","USP11",2,2985,0.55992
"8243","SMC1A",2,2985,0
"8322","FZD4",2,2985,0
"8323","FZD6",2,2985,0
"83444","INO80B",2,2985,0.35849
"83463","MXD3",2,2985,0.37266
"83858","ATAD3B",2,2985,0.52827
"8409","UXT",2,2985,0.39666
"84100","ARL6",2,2985,0
"84444","DOT1L",2,2985,0
"8451","CUL4A",2,2985,0.37178
"8452","CUL3",2,2985,0
"8454","CUL1",2,2985,0
"84811","BUD13",2,2985,0
"84901","NFATC2IP",2,2985,0.38077
"84962","AJUBA",2,2985,0
"84993","UBL7",2,2985,0.37662
"8503","PIK3R3",2,2985,0
"8520","HAT1",2,2985,0.41212
"8533","COPS3",2,2985,0.33198
"85365","ALG2",2,2985,0
"8563","THOC5",2,2985,0.46763
"8683","SRSF9",2,2985,0.42039
"8771","TNFRSF6B",2,2985,0
"8777","MPDZ",2,2985,0
"8829","NRP1",2,2985,0.68401
"8888","MCM3AP",2,2985,0.34718
"8940","TOP3B",2,2985,0
"9013","TAF1C",2,2985,0.41024
"90850","ZNF598",2,2985,0
"9091","PIGQ",2,2985,0
"9113","LATS1",2,2985,0
"9194","SLC16A7",2,2985,0.49737
"9267","CYTH1",2,2985,0
"9378","NRXN1",2,2985,0
"940","CD28",2,2985,0
"9513","FXR2",2,2985,0.34543
"960","CD44",2,2985,0
"9616","RNF7",2,2985,0
"9689","BZW1",2,2985,0.8484
"9734","HDAC9",2,2985,0.39298
"9737","GPRASP1",2,2985,0
"9775","EIF4A3",2,2985,0
"9826","ARHGEF11",2,2985,0.40156
"9852","EPM2AIP1",2,2985,0
"988","CDC5L",2,2985,0.45585
"993","CDC25A",2,2985,0.33539
"997","CDC34",2,2985,0.66226
"9997","SCO2",2,2985,0.43681
"10001","MED6",1,0,0.45207
"100128731","OST4",1,0,1.0013
"10019","SH2B3",1,0,0.62075
"10024","TROAP",1,0,0.5508
"100302652","ASB3",1,0,0.46321
"10038","PARP2",1,0,0.46026
"10039","PARP3",1,0,0.43188
"1004","CDH6",1,0,0.41028
"100506658","OCLN",1,0,0.39732
"10056","FARSB",1,0,0.7097
"10059","DNM1L",1,0,0.34932
"10061","ABCF2",1,0,0.34814
"10063","COX17",1,0,0.42623
"10066","SCAMP2",1,0,0.46235
"10084","PQBP1",1,0,0.64356
"10093","ARPC4",1,0,1.03
"10095","ARPC1B",1,0,1.04
"10097","ACTR2",1,0,0.59298
"10098","TSPAN5",1,0,0.51218
"10102","TSFM",1,0,0.89774
"10105","PPIF",1,0,0.56309
"10106","CTDSP2",1,0,0.64452
"10113","PREB",1,0,0.62109
"1012","CDH13",1,0,1.1324
"10121","ACTR1A",1,0,0.42769
"10123","ARL4C",1,0,0.40968
"10128","LRPPRC",1,0,0.38431
"10130","PDIA6",1,0,1.0008
"10131","TRAP1",1,0,0.52583
"10146","G3BP1",1,0,0.37611
"10147","SUGP2",1,0,0.37765
"10152","ABI2",1,0,0.40701
"10160","FARP1",1,0,0.52038
"10162","LPCAT3",1,0,0.34387
"10163","WASF2",1,0,0.38207
"10169","SERF2",1,0,0.90483
"10171","RCL1",1,0,0.39123
"10174","SORBS3",1,0,0.42884
"10181","RBM5",1,0,0.44405
"1019","CDK4",1,0,0.79235
"10190","TXNDC9",1,0,0.44597
"10193","RNF41",1,0,0.52878
"10199","MPHOSPH10",1,0,0.4034
"10200","MPHOSPH6",1,0,0.33714
"10201","NME6",1,0,0.45312
"10204","NUTF2",1,0,0.39408
"10209","EIF1",1,0,0.77045
"10212","DDX39A",1,0,0.34768
"10217","CTDSPL",1,0,0.34493
"10233","LRRC23",1,0,0.50203
"10237","SLC35B1",1,0,0.352
"10239","AP3S2",1,0,0.5714
"10248","POP7",1,0,0.54509
"10250","SRRM1",1,0,0.43616
"10262","SF3B4",1,0,0.42489
"10269","ZMPSTE24",1,0,0.5822
"10274","STAG1",1,0,0.41109
"10276","NET1",1,0,0.44874
"1028","CDKN1C",1,0,0.35027
"10289","EIF1B",1,0,0.57842
"10291","SF3A1",1,0,0.37261
"10293","TRAIP",1,0,0.40433
"103","ADAR",1,0,0.56832
"10302","SNAPC5",1,0,0.50935
"1031","CDKN2C",1,0,0.40206
"10328","EMC8",1,0,0.54426
"10330","CNPY2",1,0,0.62445
"10342","TFG",1,0,0.34139
"10360","NPM3",1,0,0.58037
"10367","MICU1",1,0,0.40366
"10371","SEMA3A",1,0,0.53478
"10376","TUBA1B",1,0,0.37626
"10383","TUBB4B",1,0,0.5316
"10390","CEPT1",1,0,0.43055
"103910","MYL12B",1,0,0.48816
"10395","DLC1",1,0,0.52277
"10398","MYL9",1,0,0.42333
"104","ADARB1",1,0,0.34614
"10419","PRMT5",1,0,0.68862
"10421","CD2BP2",1,0,0.46424
"10423","CDIPT",1,0,0.42145
"10425","ARIH2",1,0,0.34797
"10426","TUBGCP3",1,0,0.48608
"10428","CFDP1",1,0,0.46154
"10432","RBM14",1,0,0.43436
"10438","C1D",1,0,0.60349
"10445","MCRS1",1,0,0.39163
"10450","PPIE",1,0,0.70582
"10452","TOMM40",1,0,0.39712
"10459","MAD2L2",1,0,0.59416
"10460","TACC3",1,0,0.63392
"10467","ZNHIT1",1,0,0.47843
"10468","FST",1,0,0.63831
"10477","UBE2E3",1,0,0.43232
"10483","SEC23B",1,0,0.45969
"10487","CAP1",1,0,0.77877
"10489","LRRC41",1,0,0.38715
"10519","CIB1",1,0,0.55206
"10528","NOP56",1,0,0.66438
"10531","PITRM1",1,0,0.40283
"10544","PROCR",1,0,0.39753
"10552","ARPC1A",1,0,0.74838
"10554","AGPAT1",1,0,0.33716
"10573","MRPL28",1,0,0.34748
"10574","CCT7",1,0,0.80754
"10576","CCT2",1,0,1.2719
"10587","TXNRD2",1,0,0.38346
"10589","DRAP1",1,0,0.49841
"10598","AHSA1",1,0,0.45874
"10602","CDC42EP3",1,0,0.90734
"10606","PAICS",1,0,0.47426
"10611","PDLIM5",1,0,0.33043
"10613","ERLIN1",1,0,0.66149
"10615","SPAG5",1,0,0.49841
"10617","STAMBP",1,0,0.52476
"10618","TGOLN2",1,0,1.0869
"10623","POLR3C",1,0,0.51109
"10627","MYL12A",1,0,0.40298
"10634","GAS2L1",1,0,0.39776
"10635","RAD51AP1",1,0,0.3517
"10642","IGF2BP1",1,0,0.53084
"10643","IGF2BP3",1,0,0.48379
"10644","IGF2BP2",1,0,0.54388
"10654","PMVK",1,0,0.42781
"10655","DMRT2",1,0,0.383
"10686","CLDN16",1,0,0.36997
"10695","CNPY3",1,0,0.38457
"10712","FAM189B",1,0,0.33548
"10713","USP39",1,0,0.36455
"10715","CERS1",1,0,0.34523
"10721","POLQ",1,0,0.41137
"10725","NFAT5",1,0,0.38745
"10728","PTGES3",1,0,0.36074
"1075","CTSC",1,0,0.68771
"10762","NUP50",1,0,0.69683
"10763","NES",1,0,0.37709
"10766","TOB2",1,0,0.43466
"10776","ARPP19",1,0,0.34999
"10785","WDR4",1,0,0.34399
"10797","MTHFD2",1,0,0.78264
"10818","FRS2",1,0,0.74779
"10844","TUBGCP2",1,0,0.36463
"10847","SRCAP",1,0,0.42636
"10849","CD3EAP",1,0,0.44287
"10856","RUVBL2",1,0,0.41167
"1088","CEACAM8",1,0,0.42165
"10885","WDR3",1,0,0.3548
"109","ADCY3",1,0,0.37836
"10907","TXNL4A",1,0,0.38463
"10915","TCERG1",1,0,0.38466
"10916","MAGED2",1,0,0.87603
"10920","COPS8",1,0,0.60727
"10935","PRDX3",1,0,0.37077
"10940","POP1",1,0,0.43666
"10946","SF3A3",1,0,0.40223
"10953","TOMM34",1,0,0.5254
"10961","ERP29",1,0,0.58628
"10969","EBNA1BP2",1,0,0.74616
"10970","CKAP4",1,0,0.75545
"10983","CCNI",1,0,0.33934
"11004","KIF2C",1,0,0.35968
"11009","IL24",1,0,0.6446
"11014","KDELR2",1,0,0.38222
"11019","LIAS",1,0,0.3969
"1104","RCC1",1,0,0.56741
"11052","CPSF6",1,0,0.37465
"11057","ABHD2",1,0,0.53581
"1106","CHD2",1,0,0.48595
"11060","WWP2",1,0,0.4982
"11066","SNRNP35",1,0,0.39409
"11068","CYB561D2",1,0,0.36885
"11072","DUSP14",1,0,0.62962
"11078","TRIOBP",1,0,0.34802
"11083","DIDO1",1,0,0.38329
"11100","HNRNPUL1",1,0,0.35
"11124","FAF1",1,0,0.36046
"11128","POLR3A",1,0,0.57011
"11138","TBC1D8",1,0,0.62826
"11140","CDC37",1,0,0.38224
