"Id","Label","Degree","Betweenness","Expression"
"3575","IL7R",26,20658.83,0
"7531","YWHAE",26,19904.92,0
"4094","MAF",26,15788.14,0.7038
"3732","CD82",25,48949.38,0.43384
"3486","IGFBP3",25,44416.15,0.69435
"8517","IKBKG",25,37889.93,0
"2936","GSR",25,35762.25,0.42524
"2321","FLT1",25,34864.45,0.75754
"56829","ZC3HAV1",25,33906.54,0.44405
"9918","NCAPD2",25,22922.47,0.55976
"2120","ETV6",25,21721.52,0.49219
"409","ARRB2",25,21270.15,0
"9448","MAP4K4",25,19232.02,0.47782
"8886","DDX18",25,14356.52,0.652
"3068","HDGF",25,11585.92,0
"54617","INO80",24,42878.06,0.45977
"8079","MLF2",24,38950.41,0.9433
"5698","PSMB9",24,35857.71,0.45343
"10762","NUP50",24,31615.86,0.69683
"10970","CKAP4",24,31076.87,0.76021
"51692","CPSF3",24,28829.86,0.5857
"5393","EXOSC9",24,28306.71,0.68911
"3014","H2AFX",24,27938.3,0
"3066","HDAC2",24,25982.42,0
"57448","BIRC6",24,25337.96,0.43596
"9320","TRIP12",24,17300.47,0.40986
"54532","USP53",23,51227.62,0.57069
"1499","CTNNB1",23,48555.48,0
"5295","PIK3R1",23,43259.73,0
"9100","USP10",23,38389.99,0.52846
"4069","LYZ",23,25578.58,0.42866
"54487","DGCR8",23,21880.65,0.43481
"7532","YWHAG",23,20353,0
"3190","HNRNPK",22,62125.46,0
"3912","LAMB1",22,47941.1,0.714
"23268","DNMBP",22,36826.18,0.45169
"10269","ZMPSTE24",22,36473.51,0.5822
"11328","FKBP9",22,33975.35,0.72615
"4507","MTAP",22,33620.62,0.8478
"5111","PCNA",22,32054.92,0
"7456","WIPF1",22,28459.18,0.57883
"8994","LIMD1",22,28092.22,0.45812
"23594","ORC6",22,23175.06,0.57611
"100506658","OCLN",22,23035.78,0.39732
"4154","MBNL1",22,19366.32,0.4001
"6277","S100A6",22,16957.98,1.5052
"57634","EP400",22,15895.19,0.57763
"5927","KDM5A",22,11709.6,0.73754
